UINT8, RPM,Thrust (N), PWM (µs)
0,3643,-45.01596603,1100
1,3643,-44.57114423,1104
2,3624,-44.43769769,1108
3,3607,-43.90391153,1112
5,3578,-43.32564319,1116
6,3563,-42.65841049,1120
7,3528,-42.61392831,1124
8,3520,-40.8791233,1128
10,3483,-41.01256984,1132
11,3470,-40.25637278,1136
12,3441,-39.58914008,1140
14,3422,-39.14431828,1144
15,3420,-38.38812123,1148
16,3375,-37.85433507,1152
17,3343,-37.36503109,1156
19,3316,-36.43090531,1160
20,3273,-36.11953005,1164
21,3248,-34.87402902,1168
22,3195,-34.74058248,1172
24,3193,-33.5840458,1176
25,3153,-32.9168131,1180
26,3127,-32.0271695,1184
28,3087,-31.31545463,1188
29,3057,-30.33684667,1192
30,3022,-29.71409615,1196
31,2985,-29.00238127,1200
33,2958,-28.24618422,1204
34,2925,-27.89032678,1208
35,2896,-27.22309408,1212
36,2866,-26.46689702,1216
38,2829,-26.0665574,1220
39,2806,-25.35484252,1224
40,2785,-24.77657419,1228
42,2756,-24.28727021,1232
43,2720,-23.75348405,1236
44,2695,-23.17521571,1240
45,2673,-22.73039391,1244
47,2638,-22.10764339,1248
48,2603,-21.6628216,1252
49,2572,-21.17351762,1256
51,2549,-20.68421364,1260
52,2514,-20.01698094,1264
53,2488,-19.57215914,1268
54,2444,-19.03837298,1272
56,2411,-18.46010465,1276
57,2379,-17.79287195,1280
58,2343,-17.25908579,1284
59,2310,-16.85874617,1288
61,2283,-16.28047783,1292
62,2247,-15.79117385,1296
63,2218,-15.34635205,1300
65,2178,-14.90153026,1304
66,2155,-14.3677441,1308
67,2123,-13.96740448,1312
68,2089,-13.52258268,1316
70,2046,-13.0332787,1320
71,2013,-12.49949254,1324
72,1974,-12.01018856,1328
73,1937,-11.52088459,1332
75,1896,-11.12054497,1336
76,1871,-10.63124099,1340
77,1832,-10.27538355,1344
79,1796,-9.919526111,1348
80,1765,-9.519186492,1352
81,1733,-9.163329053,1356
82,1697,-8.762989434,1360
84,1659,-8.407131995,1364
85,1611,-7.962310196,1368
86,1575,-7.561970578,1372
87,1539,-7.250595318,1376
89,1507,-6.8502557,1380
90,1469,-6.58336262,1384
91,1428,-6.227505182,1388
93,1390,-5.871647743,1392
94,1344,-5.471308124,1396
95,1308,-5.204415045,1400
96,1270,-4.848557606,1404
98,1229,-4.537182347,1408
99,1178,-4.225807087,1412
100,1136,-3.914431828,1416
102,1090,-3.603056569,1420
103,1039,-3.29168131,1424
104,989,-2.980306051,1428
105,935,-2.668930792,1432
107,884,-2.357555533,1436
108,823,-2.046180274,1440
109,760,-1.779287195,1444
110,703,-1.512394116,1448
112,638,-1.245501036,1452
113,575,-1.023090137,1456
