UINT8, RPM,Thrust (N), PWM (µs)
114,501,-0.7561970578,1460
116,428,-0.5782683383,1464
117,357,-0.4448217987,1468
118,0,0,1472
119,0,0,1476
121,0,0,1480
122,0,0,1484
123,0,0,1488
124,0,0,1492
126,0,0,1496
127,0,0,1500
128,0,0,1504
130,0,0,1508
131,0,0,1512
132,0,0,1516
133,0,0,1520
135,0,0,1524
136,0,0,1528
137,347,0.4448217987,1532
138,424,0.667232698,1536
140,494,0.8896435974,1540
141,562,1.201018856,1544
142,624,1.467911936,1548
144,686,1.779287195,1552
145,745,2.090662454,1556
146,805,2.446519893,1560
147,856,2.802377332,1564
149,906,3.113752591,1568
150,959,3.51409221,1572
151,1009,3.825467469,1576
153,1052,4.181324908,1580
154,1099,4.626146706,1584
155,1140,4.982004145,1588
156,1184,5.382343764,1592
158,1227,5.738201203,1596
159,1267,6.138540822,1600
160,1301,6.538880441,1604
161,1341,6.8502557,1608
163,1377,7.428524038,1612
164,1419,7.873345837,1616
165,1456,8.229203276,1620
167,1493,8.629542894,1624
168,1527,8.985400333,1628
169,1564,9.474704312,1632
170,1599,9.96400829,1636
172,1637,10.54227663,1640
173,1679,11.12054497,1644
174,1716,11.56536677,1648
175,1747,12.01018856,1652
177,1783,12.54397472,1656
178,1817,12.94431434,1660
179,1851,13.56706486,1664
181,1887,13.96740448,1668
182,1920,14.590155,1672
183,1952,15.07945898,1676
184,1989,15.65772731,1680
186,2021,16.45840655,1684
187,2066,17.08115707,1688
188,2098,17.52597887,1692
189,2143,18.05976503,1696
191,2171,18.81596208,1700
192,2198,19.34974824,1704
193,2230,19.97249876,1708
195,2265,20.41732056,1712
196,2293,21.30696416,1716
197,2330,21.75178596,1720
198,2351,22.37453647,1724
200,2402,23.17521571,1728
201,2443,23.84244841,1732
202,2474,24.55416329,1736
204,2513,25.35484252,1740
205,2546,25.93311086,1744
206,2577,26.91171882,1748
207,2602,27.4010228,1752
209,2627,28.11273768,1756
210,2670,28.69100601,1760
211,2695,29.53616743,1764
212,2731,30.42581103,1768
214,2766,30.87063283,1772
215,2809,31.44890117,1776
216,2823,32.0271695,1780
218,2850,33.27267054,1784
219,2894,33.89542106,1788
220,2914,34.6961003,1792
221,2960,35.58574389,1796
223,2985,36.51986967,1800
224,3026,37.18710237,1804
225,3055,38.47708559,1808
226,3089,39.41121136,1812
228,3124,40.61223022,1816
229,3180,41.27946292,1820
230,3222,42.34703523,1824
232,3265,43.23667883,1828
233,3283,44.48217987,1832
234,3324,45.77216308,1836
235,3375,46.03905616,1840
237,3391,47.68489682,1844
238,3417,48.21868298,1848
239,3446,49.19729093,1852
240,3482,50.22038107,1856
242,3513,51.06554249,1860
243,3542,51.91070391,1864
244,3572,52.8003475,1868
246,3597,53.912402,1872
247,3619,54.89100996,1876
248,3637,55.55824266,1880
249,3653,56.58133279,1884
251,3687,57.11511895,1888
252,3711,57.82683383,1892
253,3751,58.67199525,1896
255,3742,58.9981979,1900
