UINT8, RPM,Thrust (N), PWM (µs)
0,3233,-34.48851679,1100
1,3244,-34.29576068,1104
2,3206,-34.2512785,1108
3,3202,-33.85093888,1112
5,3174,-33.3616349,1116
6,3160,-32.9168131,1120
7,3143,-32.29406258,1124
8,3121,-31.84924079,1128
10,3107,-31.27097245,1132
11,3071,-30.78166847,1136
12,3049,-30.38132885,1140
14,3025,-29.98098923,1144
15,3004,-29.44720307,1148
16,2979,-28.82445255,1152
17,2954,-28.2906664,1156
19,2937,-27.93480896,1160
20,2914,-27.26757626,1164
21,2883,-27.08964754,1168
22,2861,-26.37793266,1172
24,2847,-25.93311086,1176
25,2815,-25.44380688,1180
26,2802,-24.77657419,1184
28,2776,-24.42071675,1188
29,2740,-24.06485931,1192
30,2705,-23.62003751,1196
31,2697,-23.04176917,1200
33,2659,-22.90832263,1204
34,2658,-22.15212557,1208
35,2619,-21.61833942,1212
36,2598,-21.35144634,1216
38,2566,-20.773178,1220
39,2543,-20.15042748,1224
40,2504,-19.8835344,1228
42,2482,-19.48319478,1232
43,2452,-18.72699772,1236
44,2418,-18.549069,1240
45,2405,-17.83735413,1244
47,2366,-17.30356797,1248
48,2331,-16.85874617,1252
49,2302,-16.50288873,1256
51,2271,-16.01358475,1260
52,2246,-15.47979859,1264
53,2221,-15.34635205,1268
54,2194,-14.90153026,1272
56,2171,-14.50119064,1276
57,2139,-14.1453332,1280
58,2116,-13.74499358,1284
59,2081,-13.43361832,1288
61,2056,-12.98879652,1292
62,2023,-12.5884569,1296
63,1995,-12.1436351,1300
65,1959,-11.69881331,1304
66,1930,-11.43192023,1308
67,1896,-11.03158061,1312
68,1873,-10.67572317,1316
70,1838,-10.31986573,1320
71,1813,-9.96400829,1324
72,1785,-9.652633031,1328
73,1754,-9.341257772,1332
75,1724,-8.985400333,1336
76,1689,-8.674025074,1340
77,1659,-8.318167635,1344
79,1625,-7.917828017,1348
80,1590,-7.517488398,1352
81,1552,-7.250595318,1356
82,1523,-6.89473788,1360
84,1487,-6.67232698,1364
85,1455,-6.360951721,1368
86,1421,-6.094058642,1372
87,1375,-5.738201203,1376
89,1341,-5.382343764,1380
90,1307,-5.070968505,1384
91,1268,-4.804075426,1388
93,1233,-4.537182347,1392
94,1188,-4.181324908,1396
95,1150,-3.914431828,1400
96,1106,-3.647538749,1404
98,1064,-3.42512785,1408
99,1018,-3.113752591,1412
100,974,-2.802377332,1416
102,929,-2.535484252,1420
103,886,-2.313073353,1424
104,834,-2.046180274,1428
105,786,-1.823769375,1432
107,735,-1.601358475,1436
108,683,-1.423429756,1440
109,628,-1.201018856,1444
110,575,-0.9786079571,1448
112,518,-0.8006792376,1452
113,463,-0.667232698,1456
114,400,-0.4448217987,1460
116,342,-0.3113752591,1464
117,0,0,1468
118,0,0,1472
119,0,0,1476
121,0,0,1480
122,0,0,1484
123,0,0,1488
124,0,0,1492
126,0,0,1496
127,0,0,1500
128,0,0,1504
130,0,0,1508
131,0,0,1512
132,0,0,1516
133,0,0,1520
135,0,0,1524
136,0,0,1528
137,0,0,1532
138,344,0.4448217987,1536
140,399,0.6227505182,1540
141,461,0.8006792376,1544
142,515,0.9786079571,1548
144,573,1.201018856,1552
145,626,1.423429756,1556
146,675,1.734805015,1560
147,731,1.957215914,1564
149,777,2.224108993,1568
150,824,2.579966432,1572
151,876,2.846859512,1576
153,917,3.20271695,1580
154,967,3.558574389,1584
155,1007,3.869949649,1588
156,1048,4.181324908,1592
158,1092,4.537182347,1596
159,1136,4.893039785,1600
160,1169,5.204415045,1604
161,1214,5.649236843,1608
163,1252,6.094058642,1612
164,1287,6.316469541,1616
165,1322,6.76129134,1620
167,1354,7.117148779,1624
168,1397,7.517488398,1628
169,1432,8.095756736,1632
170,1470,8.318167635,1636
172,1499,8.718507254,1640
173,1532,9.029882513,1644
174,1562,9.474704312,1648
175,1597,9.786079571,1652
177,1628,10.31986573,1656
178,1669,10.72020535,1660
179,1700,11.20950933,1664
181,1731,11.78777767,1668
182,1761,12.09915292,1672
183,1793,12.54397472,1676
184,1817,12.98879652,1680
186,1849,13.38913614,1684
187,1878,13.78947576,1688
188,1912,14.32326192,1692
189,1934,14.8125659,1696
191,1967,15.21290551,1700
192,1999,15.74669167,1704
193,2032,16.19151347,1708
195,2064,16.76978181,1712
196,2085,17.25908579,1716
197,2114,17.79287195,1720
198,2145,18.14872939,1724
200,2175,18.72699772,1728
201,2201,19.26078388,1732
202,2228,19.6611235,1736
204,2245,20.46180274,1740
205,2285,20.773178,1744
206,2312,21.17351762,1748
207,2337,22.01867903,1752
209,2375,22.24108993,1756
210,2411,22.95280481,1760
211,2437,23.79796623,1764
212,2464,24.55416329,1768
214,2498,25.13243163,1772
215,2539,25.8441465,1776
216,2583,26.0665574,1780
218,2592,27.04516536,1784
219,2617,27.26757626,1788
220,2652,28.24618422,1792
221,2659,28.77997037,1796
223,2693,29.35823871,1800
224,2714,29.89202487,1804
225,2751,30.69270411,1808
226,2773,31.27097245,1812
228,2795,31.71579425,1816
229,2815,32.60543784,1820
230,2855,32.96129528,1824
232,2878,33.53956362,1828
233,2901,34.2512785,1832
234,2926,34.96299338,1836
235,2957,35.54126171,1840
237,2984,36.16401223,1844
238,3011,36.96469147,1848
239,3035,37.63192417,1852
240,3048,38.47708559,1856
242,3087,39.05535392,1860
243,3114,39.50017572,1864
244,3139,40.30085496,1868
246,3159,40.74567676,1872
247,3183,41.3239451,1876
248,3195,42.21358869,1880
249,3218,42.96978575,1884
251,3243,43.37012537,1888
252,3263,44.21528679,1892
253,3288,44.39321551,1896
255,3279,44.36356072,1900
