UINT8, RPM,Thrust (N), PWM (µs)
0,2662,-22.64884325,1100
1,2667,-22.59694737,1104
2,2661,-22.50798301,1108
3,2627,-22.37453647,1112
5,2617,-21.79626814,1116
6,2600,-21.39592852,1120
7,2590,-21.2179998,1124
8,2562,-20.90662454,1128
10,2535,-20.68421364,1132
11,2528,-20.15042748,1136
12,2514,-20.01698094,1140
14,2484,-19.48319478,1144
15,2472,-19.17181952,1148
16,2449,-18.90492644,1152
17,2436,-18.549069,1156
19,2416,-18.01528285,1160
20,2395,-17.74838977,1164
21,2371,-17.57046105,1168
22,2344,-17.21460361,1172
24,2332,-16.81426399,1176
25,2306,-16.50288873,1180
26,2283,-16.19151347,1184
28,2271,-15.88013821,1188
29,2241,-15.61324513,1192
30,2219,-15.25738769,1196
31,2198,-15.07945898,1200
33,2177,-14.72360154,1204
34,2157,-14.41222628,1208
35,2129,-14.1453332,1212
36,2106,-13.83395794,1216
38,2094,-13.34465396,1220
39,2073,-13.0332787,1224
40,2046,-12.94431434,1228
42,2024,-12.63293908,1232
43,2005,-12.32156382,1236
44,1982,-11.96570638,1240
45,1957,-11.65433113,1244
47,1936,-11.43192023,1248
48,1907,-11.16502715,1252
49,1885,-10.76468753,1256
51,1864,-10.54227663,1260
52,1834,-10.36434791,1264
53,1816,-9.96400829,1268
54,1789,-9.697115211,1272
56,1762,-9.519186492,1276
57,1745,-9.118846873,1280
58,1717,-8.896435974,1284
59,1697,-8.629542894,1288
61,1671,-8.362649815,1292
62,1643,-8.095756736,1296
63,1615,-7.828863657,1300
65,1591,-7.650934937,1304
66,1562,-7.384041858,1308
67,1539,-7.072666599,1312
68,1516,-6.8502557,1316
70,1488,-6.58336262,1320
71,1461,-6.405433901,1324
72,1440,-6.183023002,1328
73,1411,-6.005094282,1332
75,1382,-5.693719023,1336
76,1347,-5.426825944,1340
77,1320,-5.204415045,1344
79,1294,-5.026486325,1348
80,1265,-4.759593246,1352
81,1239,-4.581664526,1356
82,1200,-4.359253627,1360
84,1174,-4.136842728,1364
85,1142,-3.914431828,1368
86,1114,-3.736503109,1372
87,1080,-3.46961003,1376
89,1048,-3.29168131,1380
90,1016,-3.069270411,1384
91,986,-2.891341691,1388
93,948,-2.713412972,1392
94,916,-2.446519893,1396
95,883,-2.313073353,1400
96,845,-2.090662454,1404
98,813,-1.957215914,1408
99,774,-1.779287195,1412
100,740,-1.601358475,1416
102,701,-1.512394116,1420
103,664,-1.334465396,1424
104,624,-1.156536677,1428
105,584,-0.9786079571,1432
107,545,-0.8451614175,1436
108,504,-0.7117148779,1440
109,462,-0.6227505182,1444
110,421,-0.5337861584,1448
112,377,-0.4448217987,1452
113,335,-0.3113752591,1456
114,0,0,1460
116,0,0,1464
117,0,0,1468
118,0,0,1472
119,0,0,1476
121,0,0,1480
122,0,0,1484
123,0,0,1488
124,0,0,1492
126,0,0,1496
127,0,0,1500
128,0,0,1504
130,0,0,1508
131,0,0,1512
132,0,0,1516
133,0,0,1520
135,0,0,1524
136,0,0,1528
137,0,0,1532
138,0,0,1536
140,0,0,1540
141,332,0.4003396188,1544
142,373,0.5337861584,1548
144,417,0.667232698,1552
145,459,0.7561970578,1556
146,500,0.8896435974,1560
147,540,1.067572317,1564
149,582,1.245501036,1568
150,621,1.423429756,1572
151,657,1.601358475,1576
153,695,1.779287195,1580
154,733,2.001698094,1584
155,766,2.179626814,1588
156,805,2.402037713,1592
158,836,2.579966432,1596
159,873,2.846859512,1600
160,906,3.069270411,1604
161,938,3.29168131,1608
163,974,3.558574389,1612
164,1007,3.780985289,1616
165,1035,4.047878368,1620
167,1066,4.359253627,1624
168,1101,4.581664526,1628
169,1129,4.848557606,1632
170,1159,5.115450685,1636
172,1188,5.382343764,1640
173,1219,5.693719023,1644
174,1250,5.960612102,1648
175,1278,6.271987361,1652
177,1303,6.71680916,1656
178,1330,6.89473788,1660
179,1363,7.117148779,1664
181,1392,7.473006218,1668
182,1418,7.828863657,1672
183,1445,8.095756736,1676
184,1473,8.362649815,1680
186,1496,8.718507254,1684
187,1519,9.029882513,1688
188,1542,9.296775592,1692
189,1571,9.563668672,1696
191,1596,9.519186492,1700
192,1622,10.27538355,1704
193,1650,10.54227663,1708
195,1674,10.89813407,1712
196,1696,11.43192023,1716
197,1720,11.60984895,1720
198,1747,11.83225984,1724
200,1765,12.1436351,1728
201,1793,12.49949254,1732
202,1819,12.85534998,1736
204,1833,13.30017178,1740
205,1860,13.83395794,1744
206,1889,14.01188666,1748
207,1911,14.50119064,1752
209,1933,14.94601244,1756
210,1962,15.16842333,1760
211,1984,15.47979859,1764
212,2004,15.92462039,1768
214,2027,16.23599565,1772
215,2052,16.59185309,1776
216,2075,16.94771053,1780
218,2093,17.39253233,1784
219,2118,17.65942541,1788
220,2140,18.10424721,1792
221,2160,18.41562247,1796
223,2179,18.7714799,1800
224,2200,19.52767696,1804
225,2225,19.57215914,1808
226,2245,20.19490966,1812
228,2273,20.50628492,1816
229,2293,20.81766018,1820
230,2307,21.26248198,1824
232,2333,21.70730378,1828
233,2353,22.28557211,1832
234,2378,22.59694737,1836
235,2398,23.17521571,1840
237,2410,23.62003751,1844
238,2436,24.06485931,1848
239,2453,24.33175239,1852
240,2481,25.04346727,1856
242,2499,25.31036034,1860
243,2522,25.66621778,1864
244,2543,25.97759304,1868
246,2558,26.33345048,1872
247,2575,26.82275446,1876
248,2602,27.1786119,1880
249,2613,27.66791588,1884
251,2633,28.20170204,1888
252,2657,28.37963076,1892
253,2665,28.60204166,1896
255,2668,28.69100601,1900
