UINT8, RPM,Thrust (N), PWM (µs)
0,3783,-49.38263335,1100
1,3777,-48.6190226,1104
2,3740,-48.26316516,1108
3,3741,-47.5069681,1112
5,3712,-47.01766412,1116
6,3681,-46.52836014,1120
7,3639,-45.895122,1124
8,3642,-44.88251949,1128
10,3624,-43.77046499,1132
11,3569,-43.19219665,1136
12,3558,-42.65841049,1140
14,3571,-41.45739164,1144
15,3498,-40.79015894,1148
16,3449,-40.38981932,1152
17,3457,-39.41121136,1156
19,3390,-38.78846084,1160
20,3385,-38.12122815,1164
21,3335,-37.36503109,1168
22,3315,-36.38642313,1172
24,3293,-35.89711915,1176
25,3250,-34.87402902,1180
26,3211,-34.11783196,1184
28,3184,-32.9168131,1188
29,3139,-32.2495804,1192
30,3107,-31.00407937,1196
31,3046,-30.64822193,1200
33,3034,-29.44720307,1204
34,2983,-28.86893473,1208
35,2952,-28.15721986,1212
36,2927,-27.22309408,1216
38,2891,-26.82275446,1220
39,2856,-26.20000394,1224
40,2824,-25.53277124,1228
42,2797,-24.95450291,1232
43,2766,-24.50968111,1236
44,2731,-23.88693059,1240
45,2698,-23.57555533,1244
47,2679,-22.68591173,1248
48,2636,-22.19660775,1252
49,2623,-21.57385724,1256
51,2579,-20.9955889,1260
52,2554,-20.68421364,1264
53,2523,-20.01698094,1268
54,2487,-19.30526606,1272
56,2453,-18.7714799,1276
57,2414,-18.19321157,1280
58,2367,-17.61494323,1284
59,2346,-16.94771053,1288
61,2300,-16.41392437,1292
62,2265,-16.05806693,1296
63,2229,-15.52428077,1300
65,2192,-14.90153026,1304
66,2166,-14.45670846,1308
67,2135,-13.83395794,1312
68,2093,-13.4781005,1316
70,2050,-12.98879652,1320
71,2009,-12.45501036,1324
72,1972,-11.96570638,1328
73,1927,-11.47640241,1332
75,1895,-10.85365189,1336
76,1853,-10.45331227,1340
77,1816,-10.00849047,1344
79,1779,-9.697115211,1348
80,1748,-9.252293413,1352
81,1718,-8.896435974,1356
82,1676,-8.585060715,1360
84,1643,-8.140238916,1364
85,1597,-7.650934937,1368
86,1560,-7.384041858,1372
87,1526,-7.028184419,1376
89,1493,-6.76129134,1380
