UINT8, RPM,Thrust (N), PWM (µs)
90,1461,-6.449916081,1384
91,1426,-6.183023002,1388
93,1388,-5.782683383,1392
94,1349,-5.471308124,1396
95,1315,-5.204415045,1400
96,1277,-4.937521965,1404
98,1246,-4.626146706,1408
99,1201,-4.359253627,1412
100,1159,-4.047878368,1416
102,1120,-3.780985289,1420
103,1077,-3.51409221,1424
104,1024,-3.158234771,1428
105,982,-2.891341691,1432
107,925,-2.579966432,1436
108,876,-2.313073353,1440
109,813,-2.001698094,1444
110,752,-1.690322835,1448
112,688,-1.423429756,1452
113,624,-1.201018856,1456
114,547,-0.8896435974,1460
116,471,-0.7117148779,1464
117,389,-0.5337861584,1468
118,310,-0.3558574389,1472
119,0,0,1476
121,0,0,1480
122,0,0,1484
123,0,0,1488
124,0,0,1492
126,0,0,1496
127,0,0,1500
128,0,0,1504
130,0,0,1508
131,0,0,1512
132,0,0,1516
133,0,0,1520
135,0,0,1524
136,0,0,1528
137,379,0.5782683383,1532
138,457,0.8451614175,1536
140,532,1.112054497,1540
141,605,1.467911936,1544
142,676,1.779287195,1548
144,735,2.090662454,1552
145,797,2.446519893,1556
146,857,2.802377332,1560
147,905,3.158234771,1564
149,963,3.558574389,1568
150,1001,3.825467469,1572
151,1046,4.181324908,1576
153,1092,4.581664526,1580
154,1129,4.893039785,1584
155,1162,5.248897224,1588
156,1207,5.604754663,1592
158,1240,5.960612102,1596
159,1273,6.271987361,1600
160,1305,6.494398261,1604
161,1334,6.8502557,1608
163,1367,7.250595318,1612
164,1407,7.650934937,1616
165,1441,8.006792376,1620
167,1472,8.451614175,1624
168,1506,8.718507254,1628
169,1537,9.163329053,1632
170,1571,9.563668672,1636
172,1603,10.00849047,1640
173,1644,10.40883009,1644
174,1685,10.98709843,1648
175,1720,11.47640241,1652
177,1751,11.96570638,1656
178,1797,12.54397472,1660
179,1832,12.85534998,1664
181,1868,13.52258268,1668
182,1911,14.10085102,1672
183,1950,14.99049462,1676
184,1991,15.52428077,1680
186,2040,16.10254911,1684
187,2072,17.03667489,1688
188,2110,17.65942541,1692
189,2145,18.10424721,1696
191,2186,18.81596208,1700
192,2218,19.4387126,1704
193,2242,20.28387402,1708
195,2292,20.773178,1712
196,2321,21.57385724,1716
197,2371,22.06316121,1720
198,2419,22.81935827,1724
200,2452,23.88693059,1728
201,2493,24.73209201,1732
202,2520,25.57725342,1736
204,2552,26.11103958,1740
205,2593,27.08964754,1744
206,2621,27.71239806,1748
207,2654,28.5130773,1752
209,2696,29.35823871,1756
210,2723,29.98098923,1760
211,2752,30.73718629,1764
212,2788,31.58234771,1768
214,2820,32.16061604,1772
215,2861,32.9168131,1776
216,2887,33.76197452,1780
218,2928,34.78506466,1784
219,2968,35.71919043,1788
220,3013,36.51986967,1792
221,3039,37.72088853,1796
223,3088,38.8774252,1800
224,3122,40.2118906,1804
225,3182,41.27946292,1808
226,3221,42.43599959,1812
228,3268,43.37012537,1816
229,3304,44.66010859,1820
230,3341,46.08353834,1824
232,3380,47.2845572,1828
233,3418,48.35212952,1832
234,3453,49.24177311,1836
235,3481,50.44279197,1840
237,3519,51.02106031,1844
238,3561,52.88931186,1848
239,3593,54.1348129,1852
240,3614,55.11342086,1856
242,3660,56.00306445,1860
243,3684,57.02615459,1864
244,3721,58.13820909,1868
246,3732,59.4281923,1872
247,3778,60.095425,1876
248,3801,61.34092604,1880
249,3837,62.40849835,1884
251,3855,63.34262413,1888
252,3877,64.27674991,1892
253,3907,64.94398261,1896
255,3931,65.92259056,1900
